"","fechahora","tinst","tmax","tmin"
"1","2020-05-15 13:00:00",17.9,19.4,17.6
"2","2020-05-15 14:00:00",15.6,19.4,15.5
"3","2020-05-15 15:00:00",19.5,20.3,15.7
"4","2020-05-15 16:00:00",22,22.4,18.5
"5","2020-05-15 17:00:00",20.8,22.2,20
"6","2020-05-15 18:00:00",21.3,23.2,20
"7","2020-05-15 19:00:00",21,22,20.1
"8","2020-05-15 20:00:00",19.9,21,19.8
"9","2020-05-15 21:00:00",18.8,20,18.7
"10","2020-05-15 22:00:00",16.2,18.7,16.1
"11","2020-05-15 23:00:00",15.2,16.3,15.1
"12","2020-05-16 00:00:00",15.5,15.5,14.7
"13","2020-05-16 01:00:00",13.8,15.5,13.7
"14","2020-05-16 02:00:00",12.5,13.7,12.5
"15","2020-05-16 03:00:00",12.2,12.6,12.2
"16","2020-05-16 04:00:00",12.1,12.4,12
"17","2020-05-16 05:00:00",11.3,12.1,11.3
"18","2020-05-16 06:00:00",11.8,11.8,11.2
"19","2020-05-16 07:00:00",11.9,12.2,11.8
"20","2020-05-16 08:00:00",12.4,12.5,11.8
"21","2020-05-16 09:00:00",13.5,13.5,12.2
"22","2020-05-16 10:00:00",15.7,16.4,13.4
"23","2020-05-16 11:00:00",18,18,15.7
"24","2020-05-16 12:00:00",19.3,19.6,17.2
"25","2020-05-16 13:00:00",19.9,20.5,17.5
"26","2020-05-16 14:00:00",22.4,22.8,19.1
"27","2020-05-16 15:00:00",24.5,24.6,21.8
"28","2020-05-16 16:00:00",22.3,24.3,20.3
"29","2020-05-16 17:00:00",21,23,20.9
"30","2020-05-16 18:00:00",23.1,23.3,21.3
"31","2020-05-16 19:00:00",22.7,23.5,22.2
"32","2020-05-16 20:00:00",20.9,23,20.9
"33","2020-05-16 21:00:00",19.1,21.1,19
"34","2020-05-16 22:00:00",14.2,19.2,13.9
"35","2020-05-16 23:00:00",14.8,15,14.1
"36","2020-05-17 00:00:00",14.6,14.9,14.4
"37","2020-05-17 01:00:00",14.1,14.7,14
"38","2020-05-17 02:00:00",13.6,14.2,13.6
"39","2020-05-17 04:00:00",14.4,14.6,13.9
"40","2020-05-17 05:00:00",14.5,14.7,14.4
"41","2020-05-17 06:00:00",14.8,14.9,14.6
"42","2020-05-17 07:00:00",14.8,14.9,14.8
"43","2020-05-17 08:00:00",15,15,14.6
"44","2020-05-17 09:00:00",15.5,15.8,14.9
"45","2020-05-17 10:00:00",16.7,17.1,15.4
"46","2020-05-17 11:00:00",17.9,18.2,16.6
"47","2020-05-17 12:00:00",19.9,21.1,17.8
"48","2020-05-17 13:00:00",21.9,23.2,19.9
"49","2020-05-17 14:00:00",22.9,23.4,20.4
"50","2020-05-17 15:00:00",23.9,24.7,22.1
"51","2020-05-17 16:00:00",21.1,25.4,21.1
"52","2020-05-17 17:00:00",21.5,21.5,19.7
"53","2020-05-17 18:00:00",22.3,22.9,21.3
"54","2020-05-17 19:00:00",22.9,23,22.3
"55","2020-05-17 20:00:00",21.5,22.9,21.5
"56","2020-05-17 21:00:00",20.7,21.9,20.7
"57","2020-05-17 22:00:00",17.4,20.7,17.2
"58","2020-05-17 23:00:00",16.2,17.8,16.1
"59","2020-05-18 00:00:00",15.8,16.3,15.5
"60","2020-05-18 01:00:00",15.2,15.8,15.2
"61","2020-05-18 02:00:00",14.6,15.3,14.6
"62","2020-05-18 04:00:00",13.8,14.5,13.8
"63","2020-05-18 05:00:00",12.9,13.8,12.8
"64","2020-05-18 06:00:00",12.2,13,12.2
"65","2020-05-18 07:00:00",11.8,12.4,11.8
"66","2020-05-18 08:00:00",13.1,13.1,11.8
"67","2020-05-18 09:00:00",14.9,15.2,13.1
"68","2020-05-18 10:00:00",17.6,17.7,14.9
"69","2020-05-18 11:00:00",19.6,20.5,17.4
"70","2020-05-18 12:00:00",23.2,24,20
"71","2020-05-18 13:00:00",24,24.3,21.9
"72","2020-05-18 14:00:00",25.9,26.9,23.8
"73","2020-05-18 15:00:00",27.5,27.8,25.7
"74","2020-05-18 16:00:00",27.7,28.9,26.7
"75","2020-05-18 17:00:00",28.5,29.1,27.2
"76","2020-05-18 18:00:00",27.5,29.2,27.5
"77","2020-05-18 19:00:00",27.8,28.5,27.6
"78","2020-05-18 20:00:00",27.5,28,27.4
"79","2020-05-18 21:00:00",25.4,27.5,25.4
"80","2020-05-18 22:00:00",22.5,25.4,22.5
"81","2020-05-18 23:00:00",19.4,22.6,19.3
"82","2020-05-19 00:00:00",19,20.2,18.7
"83","2020-05-19 01:00:00",16.9,19,16.9
"84","2020-05-19 02:00:00",15.5,16.9,15.5
"85","2020-05-19 04:00:00",13.8,14.6,13.7
"86","2020-05-19 05:00:00",13.1,13.7,13
"87","2020-05-19 06:00:00",12.7,13.2,12.5
"88","2020-05-19 07:00:00",12.3,12.8,12.3
"89","2020-05-19 08:00:00",13.3,13.3,12.2
"90","2020-05-19 09:00:00",16.2,16.3,13.3
"91","2020-05-19 10:00:00",19.6,19.6,16.2
"92","2020-05-19 11:00:00",22.5,22.9,19.7
"93","2020-05-19 12:00:00",25.3,25.6,22.8
"94","2020-05-19 13:00:00",26.9,27.3,24.7
"95","2020-05-19 14:00:00",28.5,29,26.9
"96","2020-05-19 15:00:00",29.9,31,28.1
"97","2020-05-19 16:00:00",30.9,31.5,29.5
"98","2020-05-19 17:00:00",31,32.4,30.8
"99","2020-05-19 18:00:00",30.9,32.4,30.4
"100","2020-05-19 19:00:00",30.1,31.4,30.1
"101","2020-05-19 20:00:00",30,30.8,29.3
"102","2020-05-19 21:00:00",27.4,30.2,27.4
"103","2020-05-19 22:00:00",23.1,27.4,22.9
"104","2020-05-19 23:00:00",19.9,23.1,19.8
"105","2020-05-20 00:00:00",18.1,20,18.1
"106","2020-05-20 01:00:00",17,18.5,17
"107","2020-05-20 02:00:00",16.9,19.4,16.8
"108","2020-05-20 04:00:00",15,16,14.9
"109","2020-05-20 05:00:00",14.2,15,14.1
"110","2020-05-20 06:00:00",13.6,14.3,13.6
"111","2020-05-20 07:00:00",13.4,13.6,13.1
"112","2020-05-20 08:00:00",14.5,14.5,13.3
"113","2020-05-20 09:00:00",17.7,17.7,14.4
"114","2020-05-20 10:00:00",20.2,20.3,17.7
"115","2020-05-20 11:00:00",23.5,24,20.2
"116","2020-05-20 12:00:00",26.9,27,23.4
"117","2020-05-20 13:00:00",28.7,29.1,26.1
"118","2020-05-20 14:00:00",30.1,30.9,28.2
"119","2020-05-20 15:00:00",32.4,33.1,30.1
"120","2020-05-20 16:00:00",33,33.3,31.4
"121","2020-05-20 17:00:00",32.6,33.5,31.9
"122","2020-05-20 18:00:00",32.4,33.2,32.3
"123","2020-05-20 19:00:00",32.1,33,31.8
"124","2020-05-20 20:00:00",31.1,32.3,31.1
"125","2020-05-20 21:00:00",28.7,31.2,28.7
"126","2020-05-20 22:00:00",24.9,28.7,24.4
"127","2020-05-20 23:00:00",22.3,24.9,22.2
"128","2020-05-21 00:00:00",20.9,23.5,20.9
"129","2020-05-21 01:00:00",19.9,21.2,19.9
"130","2020-05-21 02:00:00",18.8,19.9,18.8
"131","2020-05-21 04:00:00",17.2,18.2,17.1
"132","2020-05-21 05:00:00",16.2,17.3,16.1
"133","2020-05-21 06:00:00",15.7,16.2,15.6
"134","2020-05-21 07:00:00",15,15.7,14.9
"135","2020-05-21 08:00:00",15.9,15.9,14.8
"136","2020-05-21 09:00:00",19,19.3,15.9
"137","2020-05-21 10:00:00",22.2,22.4,18.8
"138","2020-05-21 11:00:00",24.9,25.8,22.3
"139","2020-05-21 12:00:00",27.6,27.9,25.1
"140","2020-05-21 13:00:00",29.7,30.3,27.8
"141","2020-05-21 14:00:00",32.2,32.2,29.9
"142","2020-05-21 15:00:00",33.7,34.5,32
"143","2020-05-21 16:00:00",34.8,34.9,33.4
"144","2020-05-21 17:00:00",34.1,35.2,33.5
"145","2020-05-21 18:00:00",33.6,34.6,33.3
"146","2020-05-21 19:00:00",33.2,33.6,32.8
"147","2020-05-21 20:00:00",32,33.3,31.9
"148","2020-05-21 21:00:00",30,31.9,30
"149","2020-05-21 22:00:00",25.5,30.1,25.5
"150","2020-05-21 23:00:00",22.4,25.4,22.4
